,Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date,Duration (ms),Explicit,External URLs,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo
45,Yadav Brand 2,"Sunny Yaduvanshi, AK Rok, Nitesh Ujoli",Yadav Brand 2,3pRiXGIvpgNrMQmK6AgJ3c,4JvziZ2kQsbzfvRQtpYfmJ,80,2022-02-07,174253,False,https://open.spotify.com/track/4JvziZ2kQsbzfvRQtpYfmJ,0.775,0.612,11,-6.329,0,0.231,0.359,0.0,0.106,0.776,173.953
46,Tere Pyaar Mein,"Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",5uAi4ZZc7zRdd6PsKNcJXO,2ZD4aIEepqZsdxPxLSuUhm,81,2023-02-01,265108,False,https://open.spotify.com/track/2ZD4aIEepqZsdxPxLSuUhm,0.679,0.748,9,-5.487,0,0.054,0.111,0.0,0.183,0.406,118.945
47,Chaand Baaliyan,Aditya A,Chaand Baaliyan,6AJaDEafyyyWWXHZQtcFGe,0snQrp1VaY5Pj1YIHRJpRJ,80,2020-03-28,103265,False,https://open.spotify.com/track/0snQrp1VaY5Pj1YIHRJpRJ,0.729,0.396,0,-8.98,1,0.0359,0.796,0.0,0.104,0.886,97.281
48,Baller,"Shubh, Ikky",Baller,44aCFqUbG06fL58kqpMp8p,42TMa2hgBNjte4uV7jNCnQ,81,2022-09-09,148188,False,https://open.spotify.com/track/42TMa2hgBNjte4uV7jNCnQ,0.711,0.702,5,-10.048,1,0.233,0.00487,0.0163,0.0932,0.674,180.219
49,Summer High,AP Dhillon,Summer High,7sni37uwHitUkllYmcRO8W,1aL9518P5G72N92b48tuKw,80,2022-08-05,177391,False,https://open.spotify.com/track/1aL9518P5G72N92b48tuKw,0.86,0.541,1,-6.51,0,0.0325,0.165,0.163,0.0663,0.952,114.984
50,Daku,"Chani Nattan, Inderpal Moga",Daku,3RaIXDlIRvziryGLXm8lBR,3wz2vWhYnnBoFmgMkqtzLy,80,2021-01-16,131078,False,https://open.spotify.com/track/3wz2vWhYnnBoFmgMkqtzLy,0.847,0.558,8,-5.855,0,0.0663,0.325,0.0,0.135,0.495,98.062
51,Zihaal e Miskin,"Javed-Mohsin, Vishal Mishra, Shreya Ghoshal",Zihaal e Miskin,54ubCIO3voLnU7ZmJhxqBd,51DEaelXeJJ6cFFYbX8Hal,80,2023-05-25,243953,False,https://open.spotify.com/track/51DEaelXeJJ6cFFYbX8Hal,0.581,0.632,9,-7.166,0,0.0331,0.259,0.0,0.0903,0.386,128.844
52,295,Sidhu Moose Wala,Moosetape,45ZIondgVoMB84MQQaUo9T,5W7DOVGQLTigu09afW7QMT,79,2021-05-15,270000,False,https://open.spotify.com/track/5W7DOVGQLTigu09afW7QMT,0.557,0.794,11,-5.698,0,0.2,0.179,0.0,0.106,0.432,91.366
53,Chorni,"DIVINE, Sidhu Moose Wala",Chorni,5zGHPCBVVX3L7UADaS2AQ8,3GEiVoaUXq468gfYs2EPfh,79,2023-07-07,181000,False,https://open.spotify.com/track/3GEiVoaUXq468gfYs2EPfh,0.792,0.704,2,-5.706,1,0.333,0.126,0.0,0.117,0.618,90.491
54,"Kesariya (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya (From ""Brahmastra"")",1HeX4SmCFW4EPHQDvHgrVS,6VBhH7CyP56BXjp8VsDFPZ,81,2022-07-17,268165,False,https://open.spotify.com/track/6VBhH7CyP56BXjp8VsDFPZ,0.577,0.574,0,-6.525,1,0.0278,0.572,0.0,0.1,0.436,94.009
55,Jhoome Jo Pathaan,"Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar",Pathaan,2ooWY7xriwwyj23dAI32C2,6FAYpZ4jve8vpvTwUvjK6H,79,2022-12-22,208164,False,https://open.spotify.com/track/6FAYpZ4jve8vpvTwUvjK6H,0.817,0.738,7,-7.639,1,0.0748,0.0964,0.0,0.331,0.616,104.964
56,White Brown Black,"Karan Aujla, Avvy Sra, Jaani",White Brown Black,3rOSq53b9Cv7ygKe5NwKNJ,3nKQrVVlwbAQSnFbgZWdN0,79,2022-12-09,176000,False,https://open.spotify.com/track/3nKQrVVlwbAQSnFbgZWdN0,0.868,0.748,1,-3.492,0,0.0951,0.29,3.93e-06,0.252,0.829,119.965
57,"Tumhe Kitna Pyaar Karte (From ""Bawaal"")","Mithoon, Arijit Singh, Manoj Muntashir","Tumhe Kitna Pyaar Karte (From ""Bawaal"")",20zQZcEhMLsDUn1LhPCEFY,03hJuEQpEQERrHpjcXKWzJ,79,2023-07-07,305232,False,https://open.spotify.com/track/03hJuEQpEQERrHpjcXKWzJ,0.602,0.374,10,-9.849,0,0.0328,0.924,7.53e-06,0.084,0.388,101.855
58,Manjha,Vishal Mishra,Manjha,1N9rGbn2M9lzU6YcJ6081E,0UZLaEOSIc5kg0cc7eszqC,78,2020-03-17,191647,False,https://open.spotify.com/track/0UZLaEOSIc5kg0cc7eszqC,0.524,0.515,11,-7.478,0,0.0427,0.674,0.0,0.104,0.368,169.882
59,"Manike (From ""Thank God"")","Yohani, Jubin Nautiyal, Tanishk Bagchi, Rashmi Virag, Surya Ragunaathan","Manike (From ""Thank God"")",30CfQvXOWrJx6kCglMcbo3,0zlGnseLGzRIBA0TJcb3Bo,78,2022-09-16,197474,False,https://open.spotify.com/track/0zlGnseLGzRIBA0TJcb3Bo,0.551,0.578,1,-7.005,0,0.0732,0.522,0.0,0.073,0.509,106.772
60,"Tere Hawaale (From ""Laal Singh Chaddha"")","Pritam, Arijit Singh, Shilpa Rao","Tere Hawaale (From ""Laal Singh Chaddha"")",1lZk7TnMgvS3mSlfeWW1b3,4blqlsA1uf2d2I40E90EUC,78,2022-08-04,346291,False,https://open.spotify.com/track/4blqlsA1uf2d2I40E90EUC,0.589,0.522,9,-10.649,1,0.0391,0.642,2.74e-05,0.0992,0.31,109.094
61,Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,2CUXo26JAWIbQx0EVMnjpA,3hkC9EHFZNQPXrtl8WPHnX,78,2015-10-16,341055,False,https://open.spotify.com/track/3hkC9EHFZNQPXrtl8WPHnX,0.562,0.519,3,-8.744,1,0.0326,0.557,0.000268,0.172,0.415,122.925
62,Admirin' You (feat. Preston Pablo),"Karan Aujla, Ikky, Preston Pablo",Admirin' You (feat. Preston Pablo),2rSFhbKldPsvtXI5IuseAF,6NJ8Z5GDoHe47R6gGX6sLq,78,2023-08-01,214750,False,https://open.spotify.com/track/6NJ8Z5GDoHe47R6gGX6sLq,0.756,0.664,1,-6.227,1,0.0851,0.0935,0.0,0.104,0.675,96.018
63,Pasoori,"Shae Gill, Ali Sethi",Pasoori,7wgrW5XyZdtk0K8PkW5A7h,7lvDsmTRXFE3dK4OjvRiWB,78,2022-02-07,224147,False,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB,0.714,0.596,11,-6.206,0,0.043,0.0657,0.0,0.0625,0.669,91.991
64,Elevated,Shubh,Elevated,1XNS0VIWnEKteOv1fa0okk,2AilvPt1AQ8PixlCKqkjfj,77,2021-10-22,200659,True,https://open.spotify.com/track/2AilvPt1AQ8PixlCKqkjfj,0.828,0.533,6,-5.779,0,0.091,0.214,2.8e-05,0.307,0.605,93.021
65,"Besharam Rang (From ""Pathaan"")","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Besharam Rang (From ""Pathaan"")",5CvI5ppsG522pV554VLezD,0CtZpaOhtzvLV3FfcsVpQo,79,2022-12-12,258474,False,https://open.spotify.com/track/0CtZpaOhtzvLV3FfcsVpQo,0.773,0.795,8,-5.537,0,0.0412,0.0587,0.00237,0.154,0.649,115.997
66,Kya Loge Tum,"B Praak, Jaani",Kya Loge Tum,76spwPLkGkvPtADGCTkNeT,6t7PuZfHAtNGheWisgUq3I,77,2023-05-15,233684,False,https://open.spotify.com/track/6t7PuZfHAtNGheWisgUq3I,0.69,0.738,0,-4.046,1,0.0533,0.189,0.0,0.109,0.642,113.824
67,Brown Munde,"AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon",Brown Munde,1Ac8fcWoMbo35vD3B5Tjqs,58f4twRnbZOOVUhMUpplJ4,76,2020-09-18,254400,False,https://open.spotify.com/track/58f4twRnbZOOVUhMUpplJ4,0.854,0.611,8,-6.26,0,0.0864,0.223,0.0,0.119,0.417,100.024
68,Pehla Pyaar,"Armaan Malik, Vishal Mishra",Kabir Singh,3uuu6u13U0KeVQsZ3CZKK4,0ojpEubhy4JNeVftmVuiN7,76,2019-06-14,272533,False,https://open.spotify.com/track/0ojpEubhy4JNeVftmVuiN7,0.607,0.713,4,-5.105,1,0.03,0.56,4.98e-05,0.101,0.611,124.868
69,Thaa,"Varinder Brar, Rav Dhaliwal, Ultra Beats",Thaa,6u5RdRVp5HBStyPRWvHcgm,2NmBCDkjvJVvEZkH5QDOeb,76,2023-03-25,182667,False,https://open.spotify.com/track/2NmBCDkjvJVvEZkH5QDOeb,0.794,0.676,6,-5.801,0,0.0593,0.168,0.0,0.158,0.854,89.929
70,Khuda Jaane,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Bachna Ae Haseeno,4mFLdK8SkUo3cx8ERLQC92,0gPgdRfB4jdGrlyXS0Vx78,76,2008-07-05,333584,False,https://open.spotify.com/track/0gPgdRfB4jdGrlyXS0Vx78,0.382,0.632,8,-6.393,1,0.0411,0.391,0.000486,0.0922,0.716,78.936
71,Kali Kali Zulfon Ke (Lo-Fi),"Madhur Sharma, Swapnil Tare, Nusrat Fateh Ali Khan",Kali Kali Zulfon Ke (Lo-Fi),1zLlgNA1tyiabDhDwWhyPG,3mUkVsovIuscQlSoMhmAZt,76,2023-03-31,77253,False,https://open.spotify.com/track/3mUkVsovIuscQlSoMhmAZt,0.358,0.463,7,-7.075,1,0.0375,0.816,0.0,0.155,0.15,152.353
72,Moon Rise,"Guru Randhawa, Sanjoy",Man Of The Moon,0jasm0jnhQ6Y6OUYTI1NL6,3oWv5qDKYN7MH6FdlglMN5,75,2022-08-22,174057,False,https://open.spotify.com/track/3oWv5qDKYN7MH6FdlglMN5,0.756,0.713,3,-6.91,0,0.122,0.365,0.000153,0.228,0.597,92.039
73,Yaar Ka Sataya Hua Hai,"B Praak, Jaani, Nawazuddin Siddiqui",Yaar Ka Sataya Hua Hai,2AqA5Q47R0kLjUb3tjX63T,2Y2l0h051Vk4qUG2ZH7KKy,76,2023-07-03,267692,False,https://open.spotify.com/track/2Y2l0h051Vk4qUG2ZH7KKy,0.728,0.734,6,-4.252,0,0.0449,0.271,0.0,0.0788,0.523,130.014
74,Into Your Arms (feat. Ava Max),"Witt Lowry, Ava Max",Into Your Arms (feat. Ava Max),0boA7GUGSxOMWwdnnTR0yI,0b11D9D0hMOYCIMN3OKreM,75,2018-06-08,186022,True,https://open.spotify.com/track/0b11D9D0hMOYCIMN3OKreM,0.504,0.788,3,-4.113,0,0.215,0.0134,0.0,0.363,0.228,170.039
